Номер;Описание изменения;Текущий статус изменения;Бизнес-решение;Дата регистрации ЗНИ;Плановая дата выхода из текущего статуса;Дата реализации на старте;Дата реализации с текущим статусом;Просрочка, дней
5500029970;(ШМТО) Доработка транзакции ZINMM018;В ожидании акта от подрядчика;OFERTA;03.08.2021;07.03.2022;23.12.2021;07.03.2022;73
5500029971;Передача атрибутов PSE Tier 1-3 из 1С:ТО;В согласовании.Менеджер процесса;TOIR_BLPS;03.08.2021;12.08.2021;13.01.2022;20.01.2022;7
5500029972;Передача атрибутов PSE Tier 1-3 из 1С:ТО;В согласовании.Менеджер процесса;TOIR_LOGIC;03.08.2021;12.08.2021;21.12.2021;28.12.2021;7
5500029973;Передача атрибутов PSE Tier 1-3 из СМБ;В ожидании акта от подрядчика;SMB;03.08.2021;31.03.2022;01.03.2022;31.03.2022;29
5500029974;Учет НКС по реконструкции в 1С САБИ (ОС;В ожидании акта от подрядчика;KSU_NSI;03.08.2021;11.03.2022;18.03.2022;11.03.2022;-
5500029975;Передача атрибутов PSE Tier 1-3 из ТОРО;В разработке ЧТЗ;TORO_BRD;03.08.2021;29.01.2022;30.12.2021;27.06.2022;179
5500029976;Передача атрибутов PSE Tier 1-3 из ЭЖС O;Согласование ЧТЗ ВБР;OISPIPE;03.08.2021;27.12.2021;03.04.2022;27.08.2022;146
5500029977;Автообработка обращений на доступ к Моби;В разработке ЧТЗ;KSUIT;03.08.2021;31.01.2022;31.12.2021;30.06.2022;181
5500029978;(ШМТО) Доработка транзакции ZINMM018;В ожидании акта от подрядчика;OFERTA;03.08.2021;25.03.2022;23.12.2021;25.03.2022;91
5500029979;Отнесение вознаграждение агента на матер;В согласовании.Дополн. участник согласования;OFERTA;03.08.2021;05.08.2021;20.01.2022;20.01.2022;-
5500029980;ИС «АСУ НПХ», калькулятор ОПЗ: добавить;В согласовании.Владелец шаблона;ASU_NPKHIM;03.08.2021;05.08.2021;25.02.2022;25.02.2022;-
5500029981;Интеграция ЗУП 3.1 и ПиБ HR;В работе;ZUP;03.08.2021;15.04.2022;23.02.2022;05.11.2022;255
5500029982;Формирование печатной формы справки о фи;В разработке ЧТЗ;OFERTA;03.08.2021;28.01.2022;16.01.2022;13.07.2022;178
5500029983;(ЭДО) Создание автоматизированного рабоч;В разработке ЧТЗ;OFERTA;03.08.2021;31.01.2022;16.01.2022;16.07.2022;181
5500029984;Положение о закупках товаров, работ, усл;Закрыт;OFERTA;03.08.2021;-;;;-
5500029985;Реализация в АСУ НПХ изменений при выгру;В согласовании.Менеджер процесса;ASU_NPKHIM;03.08.2021;05.08.2021;12.02.2022;12.02.2022;-
5500029986;Реализовать в форме «Детализация работы»;В согласовании.Менеджер процесса;ASU_NPKHIM;03.08.2021;09.08.2021;12.02.2022;16.02.2022;4
5500029987;Удалить в форме «Расчет параметров глуше;В разработке ЧТЗ;ASU_NPKHIM;03.08.2021;23.09.2021;21.02.2022;13.04.2022;51
5500029988;Реализация в АСУ НПХ возможности подачи;В согласовании.Менеджер процесса;ASU_NPKHIM;03.08.2021;06.08.2021;12.02.2022;13.02.2022;1
5500029989;Интеграция СЭД Tessa-КШД-АСБНУ в части а;В разработке ЧТЗ;KSHD;04.08.2021;02.03.2022;05.04.2022;01.11.2022;210
5500029990;Доработка функционала по регистрации вне;Закрыт;SBYT;04.08.2021;-;;;-
5500029992;Тираж функционала «Отпуска» по БЕ 9727;Закрыт;SAP_ESS_HR;04.08.2021;-;;;-
5500029993;Тираж функционала «Пересмотр окладов» по;В разработке ЧТЗ;SAP_ESS_HR;04.08.2021;22.12.2021;02.05.2022;19.09.2022;140
5500029994;Интеграция с ГАЗПРОМ по несписочному сос;В работе;SAP_HR;04.08.2021;07.12.2021;18.01.2022;23.05.2022;125
5500029995;Создание нового кода ГС и ролей;Согласование ЧТЗ Инициатором;OFERTA;04.08.2021;27.12.2021;17.01.2022;11.06.2022;145
5500029997;Замена короткой ссылкой путь к шаблонам;В согласовании.Менеджер процесса;SUDIR;04.08.2021;01.09.2021;20.03.2022;15.04.2022;26
5500029998;784 Доработка загрузчика для док-та ПТУ;Приемка Сервис Менеджером;ERP_KFSCH;04.08.2021;29.12.2021;15.11.2021;07.04.2022;143
5500029999;Загрузка транзакционных данных бухгалтер;Приемка Сервис Менеджером;KHD_BEF;04.08.2021;21.12.2021;18.01.2022;02.06.2022;135
5500030000;Настройка интеграционных механизмов на с;Проверка Координатором;KSU_NSI;04.08.2021;27.08.2021;18.04.2022;09.05.2022;21
5500030001;Контроль фактической первоначальной даты;В разработке ЧТЗ;OFERTA;04.08.2021;31.12.2021;17.01.2022;15.06.2022;149
5500030002;Передача плановых и фактических данных м;Согласование ЧТЗ Инициатором;EKR_CUE;04.08.2021;24.11.2021;26.01.2022;18.05.2022;112
5500030003;Количественный учет СО и СИЗ: рабочее ме;В разработке ЧТЗ;OFERTA;04.08.2021;21.01.2022;17.01.2022;06.07.2022;170
5500030004;Интеграция Единого справочника контраген;В разработке ЧТЗ;SAPFIR;04.08.2021;31.12.2021;18.01.2022;16.06.2022;149
5500030006;Интеграция Terrasoft Creatio BPM HR и SA;В разработке ЧТЗ;KSHD;04.08.2021;28.02.2022;05.04.2022;30.10.2022;208
5500030007;Доработка транзакции ZSTAT_RASP ИТ 9060;Закрыт;SAP_HR;04.08.2021;-;;;-
5500030008;Доработка Отчета по заказам УГМ;В разработке ЧТЗ;KSHD;04.08.2021;31.01.2022;05.04.2022;02.10.2022;180
5500030009;Доработка Отчета по заказам УГМ;В разработке ЧТЗ;OFERTA;04.08.2021;31.12.2021;17.01.2022;15.06.2022;149
5500030010;Доработка Отчета по заказам УГМ;В согласовании.Владелец шаблона;UD_BLPS_HD;04.08.2021;09.08.2021;09.03.2022;12.03.2022;3
5500030011;Настройка интеграционных механизмов на с;Отклонен;KSU_NSI;04.08.2021;-;;;-
5500030012;210632 СМА БЛПС;В согласовании.Владелец шаблона;SMA_BLPS;04.08.2021;10.08.2021;27.01.2022;31.01.2022;4
5500030013;Расширение функциональности по ведению д;Закрыт;OFERTA;05.08.2021;-;;;-
5500030014;Создание технической роли для перевода;В работе;OFERTA;05.08.2021;15.04.2022;06.01.2022;16.09.2022;253
5500030015;Автоматизировать учет кодов провозной пл;В разработке ЧТЗ;KSHD;05.08.2021;15.01.2022;06.04.2022;16.09.2022;163
5500030016;Автоматизировать учет кодов провозной пл;Отклонен;ESON_SHD;05.08.2021;-;;;-
5500030017;Дизайн и верстка двух страниц  сайта ООО;В разработке ЧТЗ;CREPIS;05.08.2021;27.08.2021;21.01.2022;12.02.2022;22
5500030018;ОЭДК (СУП) Тираж на сектор Энергетика;В работе;SUP;05.08.2021;24.12.2021;03.01.2022;24.05.2022;141
5500030019;Создание ролей для работы в АС «Планиров;Закрыт;OFERTA;05.08.2021;-;;;-
5500030020;Корректировка Шаблонов Ф.1 и Ф.2;Согласование оценки Арх ИТ-реш;UPP_AERO;05.08.2021;28.12.2021;11.01.2022;03.06.2022;143
5500030021;Изменение пакетного задания Job_CCM_NSIP;В разработке ЧТЗ;KSHD;05.08.2021;18.02.2022;06.04.2022;20.10.2022;197
5500030023;Доработка модуля «ПиНТ» (портал «СРЗ»);Отклонен;SRZ;05.08.2021;-;;;-
5500030024;Адаптация веб-форм PSS для ЕСО;Отклонен;PORTALSELF;05.08.2021;-;;;-
5500030025;Создание ролей для работы в АС «Планиров;В ожидании акта от подрядчика;AS_PLANZAK;05.08.2021;08.02.2022;02.03.2022;08.02.2022;-
5500030026;"Добавление элементов в ""Виды активов и о";Приемка Сервис Менеджером;UPP_AERO;05.08.2021;27.12.2021;31.12.2021;20.05.2022;140
5500030027;"Добавление элементов в ""Виды активов и о";В разработке ЧТЗ;UPP_MB;05.08.2021;31.12.2021;23.03.2022;18.08.2022;148
5500030028;Реализовать возможность создания веерной;Реализовано;OFERTA;06.08.2021;28.12.2021;05.01.2022;27.05.2022;142
5500030029;КСУ НСИ / Методологический шаблон 1С / З;В работе;NSI_BEF;06.08.2021;25.03.2022;08.02.2022;27.09.2022;231
5500030030;Некорректное формирование налоговой сто;Приемка Сервис Менеджером;SAPFIR;06.08.2021;31.12.2021;04.01.2022;27.05.2022;143
5500030032;Корректировка Шаблонов Ф.1 и Ф.2;В разработке ЧТЗ;UPP_MB;05.08.2021;16.12.2021;23.03.2022;03.08.2022;133
5500030033;Актуализация формы протокола заседания з;В разработке ЧТЗ;OFERTA;05.08.2021;31.12.2021;18.01.2022;15.06.2022;148
5500030034;Корректировка Шаблонов Ф.1 и Ф.2;Приемка Сервис Менеджером;ERP_KFSCH;05.08.2021;11.01.2022;16.11.2021;20.04.2022;155
5500030035;Интеграция с ИС 1СПБ через витрину данны;В согласовании.Менеджер процесса;KLAD;05.08.2021;17.08.2021;22.02.2022;04.03.2022;10
5500030037;Добавление в Монитор поставки через КХД;В ожидании акта от подрядчика;KHD_BEF;05.08.2021;14.02.2022;11.01.2022;14.02.2022;33
5500030038;Доработка печатной формы  М-11, М-15, ТТ;В работе;AIS_US;05.08.2021;20.02.2022;31.12.2021;18.07.2022;199
5500030039;Разработка отчета «Выполнение плана МТО»;Отклонен;ERP_KFSCH;09.08.2021;-;;;-
5500030040;Передача данных между ЗУП 2.5-ДО в части;В ожидании акта от подрядчика;ZUP;09.08.2021;24.03.2022;17.02.2022;24.03.2022;35
5500030041;СУП (система управления поставщиками);В работе;SUP;06.08.2021;25.03.2022;04.01.2022;23.08.2022;231
5500030042;Автообработка обращений на доступ к Моби;В разработке ЧТЗ;KSU_NSI;06.08.2021;31.01.2022;14.04.2022;09.10.2022;178
5500030043;Согласование фактических трудозатрат;В работе;1CPM_UPRPR;06.08.2021;30.01.2022;нет БР в списке;нет БР в списке;-
5500030044;Добавить справочник НМА;В работе;1CPM_UPRPR;06.08.2021;30.01.2022;нет БР в списке;нет БР в списке;-
5500030045;Доработка интерфейса модуля плпнирования;В работе;CERERA;06.08.2021;31.01.2022;07.04.2022;02.10.2022;178
5500030046;Загрузка транзакционных данных бухгалтер;Реализовано;KSHD;06.08.2021;27.12.2021;24.03.2022;12.08.2022;141
5500030047;Необходимо реализовать механизм суммиров;В разработке ЧТЗ;SHAHMATKA;06.08.2021;28.02.2022;24.05.2022;16.12.2022;206
5500030048;Загрузка транзакционных данных бухгалтер;В работе;UPP_AERO;06.08.2021;31.12.2021;05.01.2022;01.06.2022;147
5500030049;Загрузка транзакционных данных бухгалтер;Приемка Сервис Менеджером;ERP_KFSCH;06.08.2021;31.12.2021;17.11.2021;09.04.2022;143
5500030050;Пересмотр заработной платы - часть 2 (C-;Закрыт;SAP_HR;06.08.2021;-;;;-
5500030051;Расширение интеграции АСУА Терминал и КЛ;В согласовании.Владелец шаблона;KLAD;06.08.2021;10.08.2021;08.03.2022;10.03.2022;2
5500030052;Реализация доработко по созданию инструм;Закрыт;BI_BEF;06.08.2021;-;;;-
5500030053;Модернизация аналитических экранов СМП;Закрыт;USPP;09.08.2021;-;;;-
5500030054;Расширение дашборда «Анализ корпоративны;В работе;OFERTA;09.08.2021;15.02.2022;10.01.2022;19.07.2022;190
5500030055;"790 Доработка документа ""Отчет комитенту";В ожидании акта от подрядчика;ERP_KFSCH;09.08.2021;01.02.2022;12.11.2021;01.02.2022;80
5500030056;Настройка модуля Активы дашборда АРМ ДИТ;В работе;ARM_DITAT;09.08.2021;31.01.2022;01.05.2022;23.10.2022;175
5500030057;Актуализация форм типовых договоров пост;Закрыт;SBYT;09.08.2021;-;;;-
5500030058;Настройка модуля дашбордов ЗНИ АРМ ДИТАТ;Приемка Сервис Менеджером;ARM_DITAT;09.08.2021;22.12.2021;27.04.2022;05.09.2022;131
5500030059;Настройка модуля Мощность и доступность;В разработке ЧТЗ;ARM_DITAT;09.08.2021;28.02.2022;13.05.2022;02.12.2022;203
5500030060;Настройка модуля Техническая политика да;Закрыт;ARM_DITAT;09.08.2021;-;;;-
5500030061;Экспорт данных объектов иерархий из SAP;В разработке ЧТЗ;KHD_BEF;09.08.2021;29.12.2021;08.02.2022;30.06.2022;142
5500030062;Обновление BW ABAP+UI;В работе;SAP_BASIS;09.08.2021;28.02.2022;31.03.2022;20.10.2022;203
5500030063;Реестр тех. Объектов реализовать ведение;В работе;OIS_PLUS;09.08.2021;16.11.2021;07.07.2022;14.10.2022;99
5500030064;Обновление реквизита Код КА по ИНН и КПП;В ожидании акта от подрядчика;1CDOC2X;09.08.2021;13.01.2022;28.10.2021;13.01.2022;77
5500030065;Установка пометки на удаление при миграц;В ожидании акта от подрядчика;1CDOC2X;09.08.2021;20.01.2022;28.10.2021;20.01.2022;84
5500030066;Реализовать загрузку ШК из смежных систе;В ожидании акта от подрядчика;1CDOC2X;09.08.2021;13.01.2022;28.10.2021;13.01.2022;77
5500030067;Доработка в интеграции ЗУП 3.1 – КФШ ЕРП;В ожидании акта от подрядчика;ERP_KFSCH;09.08.2021;10.02.2022;12.11.2021;10.02.2022;89
5500030069;Интеграция данных из СЭД НМД (Lotus Note;В разработке ЧТЗ;SED_NMD;09.08.2021;28.02.2022;09.04.2022;29.10.2022;203
5500030070;«Решено при первом звонке» в ШЗнО;Отклонен;KSUIT;10.08.2021;-;;;-
5500030071;Передача данных между ЗУП 2.5-ДО в части;В разработке ЧТЗ;ZUP;09.08.2021;15.04.2022;13.03.2022;17.11.2022;249
5500030072;Отражение номера договора клиента в отче;Закрыт;SAPFIR;09.08.2021;-;;;-
5500030073;Сроки хранения по запасам МТР;В разработке ЧТЗ;OFERTA;09.08.2021;31.12.2021;22.01.2022;15.06.2022;144
5500030074;Требуется выполнить перевод БЕ 1030 на э;В работе;OFERTA;09.08.2021;28.01.2022;10.01.2022;01.07.2022;172
5500030075;Создание ИБ 1С ЗУП для ДО «АО «Синергия»;В работе;ZUP;09.08.2021;31.03.2022;01.03.2022;21.10.2022;234
5500030076;Удаление ошибочных неконсистентных данны;Согласование ЧТЗ ДЗКСУ;SAP_HR;09.08.2021;30.12.2021;04.02.2022;27.06.2022;143
5500030077;Витрины данных по запасам БРД;Отклонен;AO_MTO;09.08.2021;-;;;-
5500030078;СРПО - доработка интеграции с СУП в ч;В разработке ЧТЗ;SUP;10.08.2021;31.03.2022;20.01.2022;10.09.2022;233
5500030079;Внесение дополнительных параметров при в;Проверка Координатором;SAPFIR;10.08.2021;03.09.2021;30.01.2022;21.02.2022;22
5500030081;АСУЗ: Расширение функционала сводного го;В ожидании акта от подрядчика;OFERTA;10.08.2021;11.03.2022;30.12.2021;11.03.2022;70
5500030082;Скорректировать работу КСУИТ. D14176;В ожидании акта от подрядчика;KSUIT;10.08.2021;10.03.2022;14.12.2021;10.03.2022;85
5500030083;Скорректировать работу КСУИТ. D14215;В ожидании акта от подрядчика;KSUIT;10.08.2021;24.01.2022;14.12.2021;24.01.2022;40
5500030084;Исправить нарушение рабочего процесса ЗН;В ожидании акта от подрядчика;KSUIT;10.08.2021;18.02.2022;14.12.2021;18.02.2022;65
5500030085;Обновление значений индексов к договорам;Закрыт;TORO_NPZ;10.08.2021;-;;;-
5500030086;Определение договоров при обновлении зна;В ожидании акта от подрядчика;TORO_NPZ;10.08.2021;23.03.2022;15.02.2022;23.03.2022;36
5500030087;ИС «АСУ НПХ», изменение алгоритма присво;В разработке ЧТЗ;ASU_NPKHIM;10.08.2021;17.09.2021;28.02.2022;07.04.2022;38
5500030088;ИС «АСУ НПХ». Изменить отображение ПАВ;В разработке ЧТЗ;ASU_NPKHIM;10.08.2021;17.09.2021;28.02.2022;07.04.2022;38
5500030089;ИС «АСУ НПХ», калькулятор ОПЗ: переделат;В разработке ЧТЗ;ASU_NPKHIM;10.08.2021;17.09.2021;28.02.2022;07.04.2022;38
5500030090;ИС «АСУ НПХ». Отображение проверки работ;В разработке ЧТЗ;ASU_NPKHIM;10.08.2021;17.09.2021;28.02.2022;07.04.2022;38
5500030091;Доработать ЕСОН-АРМ ЖД МЦОН / ОЦОН в чат;Согласование ЧТЗ ДКЗ;ESON;10.08.2021;28.12.2021;11.04.2022;29.08.2022;140
5500030092;Обновление формы налоговой декларации по;В работе;SAPFIR;10.08.2021;31.01.2022;12.01.2022;05.07.2022;174
5500030093;Порядок массовой корректировки параметро;Оценка объема работ;OFERTA;10.08.2021;13.12.2021;23.01.2022;23.05.2022;120
5500030094;Реализация на СФК каталога КТ-676;Закрыт;SYS_FK;10.08.2021;-;;;-
5500030095;Изменение роли ГПН_Т_ АСУМТО_ОбменПоЗаяв;Закрыт;NSI_ESMUR;10.08.2021;-;;;-
5500030096;Автоматизация процесса регистрации/созда;В ожидании акта от подрядчика;SYS_FK;10.08.2021;18.03.2022;03.12.2021;18.03.2022;105
5500030097;Добавление столбцов «ЦОЛ», «Подача ЦТП»,;В разработке ЧТЗ;OFERTA;10.08.2021;31.12.2021;23.01.2022;15.06.2022;143
5500030098;АСУЗ КЗ: создание и изменение ролей поль;Приемка Сервис Менеджером;OFERTA;11.08.2021;30.12.2021;08.01.2022;25.05.2022;137
5500030099;Доработка РР и ЭС ПБ HSE;В ожидании акта от подрядчика;PORTAL_HSE;11.08.2021;30.03.2022;11.01.2022;30.03.2022;77
5500030100;Передача фактических данных показателей;Согласование ЧТЗ Инициатором;EKR_CUE;11.08.2021;22.12.2021;02.02.2022;15.06.2022;133
5500030101;ИС «АСУ НПХ». Возможность ручного ввода;В разработке ЧТЗ;ASU_NPKHIM;10.08.2021;14.10.2021;28.02.2022;04.05.2022;65
5500030102;Доработка ISSO и ЕССТ в рамках миграции;В разработке ЧТЗ;NSI_ESST;10.08.2021;24.12.2021;24.02.2022;10.07.2022;136
5500030103;Создание бизнес-ролей по налоговой стати;Закрыт;NS_KGN;10.08.2021;-;;;-
5500030104;Реализовать возможность прикрепления ПУД;В разработке ЧТЗ;SAPFIR;11.08.2021;31.03.2022;25.01.2022;14.09.2022;232
5500030105;Реализовать возможность просмотра и поис;Отклонен;BINALMONIT;11.08.2021;-;;;-
5500030106;Реализация возможности дифференциации пр;В разработке ЧТЗ;SAP_HR_TM;12.08.2021;03.09.2021;04.04.2022;26.04.2022;22
5500030107;Автоматизация процесса исключения из ква;В разработке ЧТЗ;SAP_HR_TM;12.08.2021;17.09.2021;04.04.2022;10.05.2022;36
5500030108;Обновление формы налоговой декларации по;Отклонен; ;13.08.2021;-;;;-
5500030110;Передача атрибутов PSE Tier 1-3 из ЭЖС M;В согласовании.Менеджер процесса;NAD_BLPS;16.08.2021;20.08.2021;01.01.2022;03.01.2022;2
5500030111;Передача фактических данных показателей;Согласование ЧТЗ Инициатором;EKR_CUE;11.08.2021;22.12.2021;02.02.2022;15.06.2022;133
5500030112;Формирование корректной суточной замерно;В работе;OIS_PRODUC;11.08.2021;30.04.2022;29.01.2022;18.10.2022;262
5500030113;Настройка интеграци ЕССТ и ИСАП Корпорат;Отклонен;NSI_ESST;11.08.2021;-;;;-
5500030115;АСУЗ НКЗ/ДС: Расширение функционала для;В работе;OFERTA;11.08.2021;30.12.2021;12.01.2022;02.06.2022;141
5500030116;Сохранение прикреплённых ранее документо;В работе;OFERTA;11.08.2021;04.03.2022;12.01.2022;05.08.2022;205
5500030117;Обеспечение работы ООО ГПН-Аэро (Обществ;Отклонен;OFERTA;11.08.2021;-;;;-
5500030118;Внесение изменений в SAP;Согласование Менеджером проц-а;OFERTA;11.08.2021;31.12.2021;15.01.2022;04.06.2022;140
5500030119;Передача атрибутов PSE Tier 3 из АСОДУ;В согласовании.Владелец шаблона;ASODU;11.08.2021;18.08.2021;26.03.2022;31.03.2022;5
5500030120;Таблица делегирования по сотрудникам;Согласование Арх-ом ИТ-решения;KSUIT;12.08.2021;20.08.2021;11.01.2022;17.01.2022;6
5500030121;Создание роли RPA-робота «Мониторинг кор;В работе;OFERTA;12.08.2021;25.05.2022;13.01.2022;26.10.2022;286
5500030122;Изменение алгоритма расчета энергоресурс;Отклонен;ASPP;12.08.2021;-;;;-
5500030123;Перенос интеграционного потока СБЫТ (SAP;В разработке ЧТЗ;KSHD;12.08.2021;25.04.2022;13.04.2022;25.12.2022;256
5500030124;Перенос интеграционного потока из ЕЭА Fi;В разработке ЧТЗ;KSHD;12.08.2021;25.04.2022;13.04.2022;25.12.2022;256
5500030125;Перенос интеграционного потока из ЕЭА Fi;В разработке ЧТЗ;KSHD;12.08.2021;25.04.2022;13.04.2022;25.12.2022;256
5500030126;Перенос интеграционного потока из ЕЭА Fi;В разработке ЧТЗ;KSHD;12.08.2021;25.04.2022;13.04.2022;25.12.2022;256
5500030127;(ШУЗ) Доработка процесса перепродажи МТР;В разработке ЧТЗ;OFERTA;12.08.2021;31.12.2021;25.01.2022;15.06.2022;141
5500030128;Тиражирование модуля СЭД «Должностные ин;Оценка объема работ;SED_HR;12.08.2021;14.01.2022;24.03.2022;21.08.2022;150
5500030129;Синхронизация справочников системы ИСУП;В разработке ЧТЗ;ESIS;13.08.2021;28.02.2022;02.02.2022;20.08.2022;199
5500030130;Синхронизация справочников системы ИСУП;В разработке ЧТЗ;KSHD;13.08.2021;28.02.2022;14.04.2022;30.10.2022;199
5500030131;Единый источник данных для Форм 1 и 2 РС;В работе;KSU_NSI;13.08.2021;31.01.2022;09.04.2022;27.09.2022;171
5500030132;Единый источник данных для Форм 1 и 2 РС;В работе;KSHD;13.08.2021;31.01.2022;02.04.2022;20.09.2022;171
5500030133;(ШМТО) Доработка транзакции VA02 при уда;В ожидании акта от подрядчика;OFERTA;13.08.2021;25.02.2022;02.01.2022;25.02.2022;53
5500030134;(ШУЗ) Доработка транзакции ZINMM020 для;В ожидании акта от подрядчика;OFERTA;13.08.2021;04.03.2022;02.01.2022;04.03.2022;60
5500030135;Реестр тех. Объектов реализовать ведение;Закрыт;OIS_PLUS;13.08.2021;-;;;-
5500030136;Аналитика по участкам маршрута;Оценка объема работ;PONT;13.08.2021;02.12.2021;20.03.2022;04.07.2022;106
5500030137;изменения в т/а ZINMM519;Закрыт;OFERTA;13.08.2021;-;;;-
5500030138;Закрепление фактических операций за план;Приемка Сервис Менеджером;SMB;16.08.2021;-;22.03.2022;та же;-
5500030139;Закрепление фактических операций за план;В работе;SMB;16.08.2021;21.12.2021;26.03.2022;31.07.2022;127
5500030140;Формирование промежуточного акта погрузк;Оценка объема работ;OIS_USOI;16.08.2021;19.10.2021;20.03.2022;18.05.2022;59
5500030141;Доработка программы Сапфир, корректировк;Отклонен;SAPFIR;16.08.2021;-;;;-
5500030142;Автоматизация отчета Ш-03.06.04.03.09 От;В разработке ЧТЗ;OFERTA;17.08.2021;31.12.2021;30.01.2022;15.06.2022;136
5500030151;Создание ИБ 1С ЗУП для ДО «АО «Синергия»;Отклонен;SUID;16.08.2021;-;;;-
5500030152;Тираж 1С ЗУП АО Синергия;В работе;SAP_HR;16.08.2021;15.10.2021;30.01.2022;31.03.2022;60
5500030155;Интеграция ЦП КОМПАС: Портал адаптаци;В разработке ЧТЗ;KSU_NSI;17.08.2021;11.03.2022;25.04.2022;17.11.2022;206
5500030156;Создание ИБ 1С ЗУП для ДО «АО «Синергия»;Отклонен;KKO;17.08.2021;-;;;-
5500030157;Создание ИБ 1С ЗУП для ДО «АО «Синергия»;Согласование ИТ БП;KSHD;17.08.2021;23.12.2021;11.04.2022;15.08.2022;126
5500030158;Доработка КЮРАСАО по добавлению новых по;Согласование ЧТЗ Инициатором;KYURASAO;17.08.2021;28.12.2021;05.03.2022;16.07.2022;133
5500030159;Автоматизация заполнения аналитики в пол;Приемка Сервис Менеджером;SAPFIR;17.08.2021;10.01.2022;15.01.2022;06.06.2022;142
5500030160;Настройка оповещения пользователей о соб;В разработке ЧТЗ;AS_PLANZAK;17.08.2021;31.12.2021;07.04.2022;21.08.2022;136
5500030161;Настройка интеграци ЕССТ и ИСАП Корпорат;Отклонен;KSHD;17.08.2021;-;;;-
5500030162;При формировании заявок по транзакции ZI;В разработке ЧТЗ;OFERTA;17.08.2021;31.12.2021;30.01.2022;15.06.2022;136
5500030163;Оптимизация схемы отправки уведомлений п;В ожидании акта от подрядчика;EPKK;17.08.2021;09.03.2022;11.12.2021;09.03.2022;87
5500030164;Данные о пользователях 1С из 1С СКИБ;Приемка Сервис Менеджером;SKIB;17.08.2021;27.12.2021;27.12.2021;04.05.2022;128
5500030171;Интеграция данных 6-компонентного анализ;В работе;OIS_PLUS;18.08.2021;16.12.2021;16.07.2022;13.11.2022;120
5500030172;ГПН-Смазочные материалы требуется настро;Отклонен;ERP_KFSCH;18.08.2021;-;;;-
5500030173;Разработать подсистему «Управление досту;Закрыт;SKIB;18.08.2021;-;;;-
5500030174;Доработка SAP ESS;В работе;SAP_ESS_HR;18.08.2021;28.03.2022;04.05.2022;12.12.2022;222
5500030175;Вывод отборов МТР на Портал закупок ГПН;В работе;OFERTA;18.08.2021;31.03.2022;19.01.2022;01.09.2022;225
5500030176;Витрина МБ;В работе;ASKHD;18.08.2021;19.02.2022;03.05.2022;04.11.2022;185
5500030178;Корректировка api по уволенным сотрудник;Закрыт;KSU_NSI;18.08.2021;-;;;-
5500030179;Доработка селекционного экрана тр. ZINMM;В разработке ЧТЗ;OFERTA;18.08.2021;31.12.2021;31.01.2022;15.06.2022;135
5500030180;Доработка отчета ZHR_T3R_FUN - ZTPHR_HCM;В работе;SAP_HR;18.08.2021;31.03.2022;01.02.2022;14.09.2022;225
5500030181;Разработка документов точечного анализа;Оценка объема работ;SKIB;18.08.2021;08.10.2021;13.01.2022;28.02.2022;46
5500030182;Доработка выбора кода организатора в АС;В разработке ЧТЗ;OFERTA;18.08.2021;31.12.2021;31.01.2022;15.06.2022;135
5500030183;"Реализация отражения видов времени ""Ночн";В работе;ZUP;18.08.2021;17.03.2022;10.03.2022;07.10.2022;211
5500030184;Тиражирование приложения СЭД НМД в ООО «;В работе;SED_NMD;18.08.2021;31.03.2022;06.04.2022;17.11.2022;225
5500030185;В связи с сокращением сроков БЗ необходи;Закрыт;SAPFIR;20.08.2021;-;;;-
5500030186;Доработать ЕСОН-АРМ ЖД МЦОН / ОЦОН в чат;В ожидании акта от подрядчика;ESON;20.08.2021;24.01.2022;28.03.2022;24.01.2022;-
5500030187;Доработка инетграционного механизма «ЕСО;Отклонен;ESON;20.08.2021;-;;;-
5500030188;АСУЗ КЗ: реализация нового функционала п;В разработке ЧТЗ;OFERTA;20.08.2021;30.12.2021;02.02.2022;14.06.2022;132
5500030189;Доработка интерфейса модуля плпнирования;В работе;CERERA;20.08.2021;28.12.2021;21.04.2022;29.08.2022;130
5500030190;Доработка журнала ошибок ЦКР (Список «Ин;В ожидании акта от подрядчика;SYS_FK;20.08.2021;18.03.2022;13.12.2021;18.03.2022;95
5500030191;Настройка нового дочернего общества для;Отклонен;KSHD;18.08.2021;-;;;-
5500030192;Обновление GRC до 12-й версии;В работе;SYSTEM_AUT;19.08.2021;31.01.2022;06.05.2022;18.10.2022;165
5500030193;Обновление GRC до 12-й версии;В работе;SK_FO;19.08.2021;31.01.2022;17.03.2022;29.08.2022;165
5500030194;Доп. настройка ИТ 9060 Оценка должности;Закрыт;SAP_HR_TM;19.08.2021;-;;;-
5500030195;Правки ролевой модели (разделение доступ;В согласовании.Менеджер процесса;ERP_KFSCH;19.08.2021;23.08.2021;07.12.2021;09.12.2021;2
5500030196;Доработка ГПЗ для возможности формирован;В разработке ЧТЗ;OFERTA;19.08.2021;31.12.2021;01.02.2022;15.06.2022;134
5500030197;Доработка транзакции ZUSERSNC для монито;В ожидании акта от подрядчика;IB_SAP;19.08.2021;10.02.2022;14.01.2022;10.02.2022;26
5500030198;Реализация «Фонд скважин с отсутствием Т;В разработке ЧТЗ;OIS_USOI;19.08.2021;28.01.2022;23.03.2022;01.09.2022;162
5500030200;1201 Доработка форм по процессам 14.03.0;В ожидании акта от подрядчика;SAP_HR;19.08.2021;27.12.2021;21.01.2022;27.12.2021;-
