Номер;Описание изменения;Текущий статус изменения;Бизнес-решение;Дата регистрации ЗНИ;Плановая дата выхода из текущего статуса;Дата реализации на старте;Дата реализации с текущим статусом;Просрочка, дней
5500028448;Добавление поля в карточку Бизнес-систем;Отклонен;ESIS;09.04.2021;-;;;-
5500028449;Интеграция СЭД Tessa-КШД-1C УПП ЦР в чат;Согласование оценки Арх ИТ-реш;UPP_ITSK;09.04.2021;10.12.2021;15.09.2021;16.05.2022;243
5500028450;При создании заказов на закупку услуг (т;Отклонен;OFERTA;09.04.2021;-;;;-
5500028451;Доработка Отчета по плановым и фактическ;В работе;KSHD;12.04.2021;31.03.2022;30.11.2021;18.11.2022;353
5500028452;Обеспечение передачи данных между систем;Отклонен;ESON;12.04.2021;-;;;-
5500028454;(ШУЗ) Доработка функционала замены парти;Закрыт;OFERTA;12.04.2021;-;;;-
5500028455;Автоматический перевод МТР на центральны;В разработке ЧТЗ;OFERTA;12.04.2021;31.12.2021;25.09.2021;15.06.2022;263
5500028456;Акт технической аттестации;В разработке ЧТЗ;OFERTA;12.04.2021;31.12.2021;25.09.2021;15.06.2022;263
5500028457;Доработка Заявки НСИ (Виды оплаты);В работе;NSI_ESST;12.04.2021;01.04.2022;15.10.2021;04.10.2022;354
5500028458;Доработка системы СБЫТ+ на предмет отмен;В согласовании.Менеджер процесса;SBYT;12.04.2021;14.05.2021;02.09.2021;02.10.2021;30
5500028459;Информирование о закрытии Проблемы;Отклонен;KSUIT;12.04.2021;-;;;-
5500028460;Добавление вложений из статьи Базы;Отклонен;KSUIT;12.04.2021;-;;;-
5500028461;Верстка портала;В ожидании акта от подрядчика;PORTALSELF;12.04.2021;14.12.2021;02.12.2021;14.12.2021;12
5500028462;Новые контрольные соотношения по НДС с 0;Отклонен;ERP_KFSCH;12.04.2021;-;;;-
5500028463;Разработка WEB-сервиса для выгрузки данн;В работе;KSU_NSI;12.04.2021;18.03.2022;07.12.2021;12.11.2022;340
5500028464;Интеграция СЭД Tessa-КШД-1C УПП ЦР в чат;Согласование оценки Арх ИТ-реш;KSHD;12.04.2021;10.12.2021;07.12.2021;04.08.2022;240
5500028465;Добавить подразделы Программы и Сегменты;Отклонен;KIS_UKITA;12.04.2021;-;;;-
5500028466;Отображение данных по нескольким скважин;Отклонен;SHAHMATKA;12.04.2021;-;;;-
5500028467;Интеграция FW Recruiter с WebTutor;В разработке ЧТЗ;KSHD;12.04.2021;25.03.2022;12.12.2021;24.11.2022;347
5500028468;Перманентные примечания;Отклонен;SHAHMATKA;12.04.2021;-;;;-
5500028469;Пакетное занесение целевой приемистости;В разработке ЧТЗ;SHAHMATKA;12.04.2021;30.05.2022;28.01.2022;17.03.2023;413
5500028470;При создании заказов на закупку услуг (т;Отклонен;OFERTA;12.04.2021;-;;;-
5500028471;Настройка ведения ПДС при смене СПП;В разработке ЧТЗ;OFERTA;12.04.2021;31.12.2021;25.09.2021;15.06.2022;263
5500028472;Преобразование ссылки в верхний регистр;Закрыт;OFERTA;12.04.2021;-;;;-
5500028473;Доработка планирования отпусков с ПЭП (C;Закрыт;SAP_ESS_HR;13.04.2021;-;;;-
5500028474;Построение S-Кривых по СМР;Закрыт;ASKS_BLPS;13.04.2021;-;;;-
5500028476;Доработка скрипта «Проверка корректности;Закрыт;KIS_BA;13.04.2021;-;;;-
5500028477;Форма CЗВ-ТД с кодами ОКЗ (C-5915948);Закрыт;SAP_HR;13.04.2021;-;;;-
5500028478;Настройка проверок часов сверх.работы C-;В работе;SAP_HR;13.04.2021;29.10.2021;27.09.2021;14.04.2022;199
5500028481;Создание обезличенного усиленного иденти;Закрыт;SAP_HR;13.04.2021;-;;;-
5500028482;Адаптация расчета НДФЛ с включ. TAXDT;В работе;SAP_HR;13.04.2021;30.04.2022;27.09.2021;14.10.2022;382
5500028483;Доработка ОСВ в разрезе аналитических да;Отклонен;SAPFIR;13.04.2021;-;;;-
5500028484;Требуется выполнить перевод БЕ 1240 на э;В работе;OFERTA;13.04.2021;31.01.2022;14.09.2021;04.07.2022;293
5500028485;Формирование витрин данных SAP BW 7.5 on;Закрыт;AO_MTO;13.04.2021;-;;;-
5500028486;Интеграция КСУИТ и 1С ERP PM по реализац;Отклонен;1CPM_UPRPR;13.04.2021;-;;;-
5500028488;Доработка «ЕСОН-АРМ» ОЦОН ЖД в части вне;Отклонен;ESON;14.04.2021;-;;;-
5500028489;Реализация выгрузки PDF-форм спецификац;В работе;OFERTA;14.04.2021;25.03.2022;15.09.2021;26.08.2022;345
5500028490;Валидация бизнес-решений в СУИД;Оценка объема работ;KSHD;14.04.2021;01.07.2021;14.12.2021;25.02.2022;73
5500028491;Автоматизация 4П. Представление данных н;В работе;GO_SABI;14.04.2021;31.07.2022;05.11.2021;21.02.2023;473
5500028492;Автоматизация 4П. Представление данных н;В работе;GO_SABI;14.04.2021;31.07.2022;05.11.2021;21.02.2023;473
5500028493;Расширение функциональности скрипта «Про;Закрыт;KIS_BA;14.04.2021;-;;;-
5500028494;Дополнить модуль приложением для предост;В разработке ЧТЗ;SED_GPNNNG;14.04.2021;31.01.2022;12.02.2022;01.12.2022;292
5500028495;ОЭДК (СУП) изменение логики расчета квар;Закрыт;SUP;14.04.2021;-;;;-
5500028496;ОЭДК (СУП) выгрузка ОЛ по договору с нак;В работе;SUP;14.04.2021;12.10.2021;12.09.2021;12.03.2022;181
5500028497;ОЭДК (СУП) доработка иерархии критериев;Закрыт;SUP;14.04.2021;-;;;-
5500028498;ОЭДК (СУП) доработка иерархии критериев;В работе;SUP;14.04.2021;12.10.2021;12.09.2021;12.03.2022;181
5500028499;ОЭДК (СУП) доработка иерархии критериев;В работе;SUP;14.04.2021;26.10.2021;12.09.2021;26.03.2022;195
5500028500;Список отложенной рассылки по простоям А;Закрыт;KSUIT;14.04.2021;-;;;-
5500028501;Инструмент для самостоятельной загрузке;В работе;SAP_HR;14.04.2021;26.12.2021;28.09.2021;11.06.2022;256
5500028502;Адаптация функционала блока Мониторинг к;Согласование Менеджером проц-а;IS_UPC;14.04.2021;29.11.2021;21.09.2021;06.05.2022;227
5500028503;Функционал запуска планирования целей УП;В ожидании акта от подрядчика;IS_UPC;14.04.2021;28.03.2022;06.09.2021;28.03.2022;203
5500028504;Доработка процесса изменения команды ФОП;В ожидании акта от подрядчика;IS_UPC;14.04.2021;18.03.2022;06.09.2021;18.03.2022;193
5500028505;Реализация  дашборда по текущим конкурен;Закрыт;AO_KZU;15.04.2021;-;;;-
5500028506;Добавление пользовательских дашбордов ИС;В работе;IS_UPC;15.04.2021;-;19.09.2021;та же;-
5500028507;Открытие роли для кода организатора 471;В работе;OFERTA;15.04.2021;31.01.2022;16.09.2021;04.07.2022;291
